Date,vix,OLDVIX,eom
1/2/1990,17.24,64.92489661,TRUE
2/1/1990,24.87,93.65905908,TRUE
3/1/1990,21.9,82.47420161,TRUE
4/2/1990,22.84,86.01419017,TRUE
5/1/1990,18.43,69.40637149,TRUE
6/1/1990,17.09,64.36000481,TRUE
7/2/1990,16.26,61.23427023,TRUE
8/1/1990,21.64,81.49505583,TRUE
9/4/1990,29.58,111.3966613,TRUE
10/1/1990,28.06,105.6724245,TRUE
11/1/1990,30.25,113.9198447,TRUE
12/3/1990,22.29,83.94292026,TRUE
1/2/1991,26.62,100.2494633,TRUE
2/1/1991,21.04,79.23548867,TRUE
3/4/1991,20.86,78.55761852,TRUE
4/1/1991,17.42,65.60276676,TRUE
5/1/1991,17.77,66.9208476,TRUE
6/3/1991,16.87,63.53149685,TRUE
7/1/1991,18.64,70.19722,TRUE
8/1/1991,15.47,58.25917346,TRUE
9/3/1991,16.57,62.40171327,TRUE
10/1/1991,14.81,55.77364958,TRUE
11/1/1991,15.6,58.74874635,TRUE
12/2/1991,20.18,75.99677573,TRUE
1/2/1992,18.95,71.36466303,TRUE
2/3/1992,18.2,68.54020407,TRUE
3/2/1992,16.88,63.56915631,TRUE
4/1/1992,16.48,62.06277819,TRUE
5/1/1992,16.61,62.55235108,TRUE
6/1/1992,14.43,54.34259037,TRUE
7/1/1992,13.34,50.23771002,TRUE
8/3/1992,13.83,52.08302321,TRUE
9/1/1992,13.4,50.46366674,TRUE
10/1/1992,16.31,61.4225675,TRUE
11/2/1992,16.67,62.7783078,TRUE
12/1/1992,12.8,48.20409957,TRUE
1/4/1993,13.36,50.31302892,TRUE
2/1/1993,12.33,46.43410529,TRUE
3/1/1993,13.6,51.21685579,TRUE
4/1/1993,13.02,49.03260753,TRUE
5/3/1993,12.9,48.5806941,TRUE
6/1/1993,13.67,51.48047196,TRUE
7/1/1993,11.51,43.34603016,TRUE
8/2/1993,11.47,43.19539235,TRUE
9/1/1993,11.48,43.2330518,TRUE
10/1/1993,11.83,44.55113265,TRUE
11/1/1993,11.78,44.36283538,TRUE
12/1/1993,13.83,52.08302321,TRUE
1/3/1994,12.57,47.33793215,TRUE
2/1/1994,10.65,40.10731722,TRUE
3/1/1994,15.83,59.61491376,TRUE
4/4/1994,23.87,89.89311381,TRUE
5/2/1994,14.11,53.13748788,TRUE
6/1/1994,12.72,47.90282395,TRUE
7/1/1994,14.36,54.0789742,TRUE
8/1/1994,11.17,42.06560876,TRUE
9/1/1994,11.86,44.66411101,TRUE
10/3/1994,15.44,58.1461951,TRUE
11/1/1994,14.84,55.88662794,TRUE
12/1/1994,16.69,62.8536267,TRUE
1/3/1995,14.25,53.66472022,TRUE
2/1/1995,11.73,44.17453812,TRUE
3/1/1995,11.65,43.8732625,TRUE
4/3/1995,13.5,50.84026126,TRUE
5/1/1995,12.14,45.71857568,TRUE
6/1/1995,12.21,45.98219185,TRUE
7/3/1995,11.57,43.57198688,TRUE
8/1/1995,13.56,51.06621798,TRUE
9/1/1995,11.29,42.5175222,TRUE
10/2/1995,13.95,52.53493664,TRUE
11/1/1995,13.41,50.50132619,TRUE
12/1/1995,11.11,41.83965205,TRUE
1/2/1996,12.19,45.90687295,TRUE
2/1/1996,12.65,47.63920778,TRUE
3/1/1996,16.72,62.96660506,TRUE
4/1/1996,17.9,67.41042049,TRUE
5/1/1996,16.07,60.51874063,TRUE
6/3/1996,16.86,63.4938374,TRUE
7/1/1996,13.78,51.89472594,TRUE
8/1/1996,18.76,70.64913343,TRUE
9/3/1996,18.47,69.5570093,TRUE
10/1/1996,17.05,64.209367,TRUE
11/1/1996,17.89,67.37276104,TRUE
12/2/1996,17.93,67.52339885,TRUE
1/2/1997,21.14,79.61208319,TRUE
